step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
206,7740,412,0.06903029173612595,0.5,0.5,,,,,,,,,
207,7790,414,0.043557446599006656,0.5,0.5,,,,,,,,,
208,7824,416,0.08059453390538691,0.5,0.5,,,,,,,,,
209,7858,418,0.08001953672617673,0.5,0.5,0.04640796614189942,1.0,1.0,,,,,,
210,7940,420,0.03358796248259023,0.5,0.5,,,,,,,,,
211,7974,422,0.08208085786551236,0.5,0.5,,,,,,,,,
212,8008,424,0.06424886755645276,0.5,0.5,,,,,,,,,
213,8058,426,0.057621459588408475,0.5,0.5,,,,,,,,,
214,8076,428,0.06860532864928245,1.0,1.0,,,,,,,,,
215,8094,430,0.16874211553484203,0.5,0.5,,,,,,,,,
216,8128,432,0.06533954752609133,1.0,1.0,,,,,,,,,
217,8178,434,0.06774520551164943,0.5,0.5,0.08089625481516124,0.5,0.5,,,,,,
218,8228,436,0.05741716648141543,0.5,0.5,,,,,,,,,
219,8262,438,0.06394699051976203,0.5,0.5,,,,,,,,,
220,8328,440,0.04713221896439791,1.0,1.0,,,,,,,,,
221,8378,442,0.04244356095790863,0.5,0.5,,,,,,,,,
222,8428,444,0.04771715037835142,0.5,0.5,,,,,,,,,
223,8462,446,0.05531677026301622,1.0,1.0,,,,,,,,,
224,8496,448,0.0608520045503974,0.5,0.5,,,,,,,,,
225,8530,450,0.05171231523156166,1.0,1.0,0.06643528963128725,0.5,0.5,,,,,,
226,8564,452,0.05031900122761727,1.0,1.0,,,,,,,,,
227,8598,454,0.0660663416981697,0.0,0.0,,,,,,,,,
228,8648,456,0.06582939700533946,0.5,0.5,,,,,,,,,
229,8682,458,0.06161638826131821,1.0,1.0,,,,,,,,,
230,8716,460,0.06100237639620901,0.5,0.5,,,,,,,,,
231,8734,462,0.15504345186054708,0.5,0.5,,,,,,,,,
232,8768,464,0.07102360654622317,0.0,0.0,,,,,,,,,
233,8802,466,0.07951429210603238,0.5,0.5,0.07193756658583879,0.5,0.5,,,,,,
234,8836,468,0.0588771203532815,0.5,0.5,,,,,,,,,
235,8854,470,0.13154984777793288,0.0,0.0,,,,,,,,,
236,8904,472,0.057313258225719144,0.5,0.5,,,,,,,,,
237,8938,474,0.06521053049713374,0.5,0.5,,,,,,,,,
238,8988,476,0.0444538546850284,1.0,1.0,,,,,,,,,
239,9022,478,0.056849672682583334,1.0,1.0,,,,,,,,,
240,9056,480,0.08711681008338928,0.5,0.5,,,,,,,,,
